Master Date List,Bin 3 Flow Data (gpm),,,Bin 3 Constituent Data (mg/L),,,,,,,,,,,,,,,,,,,Bin 3 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 3 Inflow,Bin 3 Outflow,Date,Bin 3 TDS,Bin 3 Sulfate,Bin 3 Chloride,Bin 3 Arsenic,Bin 3 Selenium,Bin 3 Chromium,Bin 3 Copper,Bin 3 Zinc,Bin 3 Nitrate,Bin 3 Nitrite,Bin 3 Phosphorus,Bin 3 COD,Bin 3 Boron,Bin 3 Color,Bin 3 Thallium,Bin 3 DOC,Bin 3 Nitrate + Nitrite as N,Bin 3 Sulfide,Date,Bin 3 Conductivity S/m,Bin 3 Conductivity µS/cm,Bin 3 DO mg/L,Bin 3 ORP (mV),Bin 3 pH,Bin 3 Temp. Celsius,Bin 3 H2S mg/L
6/30/16,6/30/16,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/16,,,,,,,,,,,,,,,,,,,,,,,7/3/16,1292,,5.07,33.4,7.73,28,0
7/5/16,7/5/16,0.1,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/16,,,,,,,,,,,,,,,,,,,,,,,7/10/16,1229,,4.62,-9.3,7.4,28.2,0
7/11/16,7/11/16,0.2,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/16,,,,7/14/16,9060,2370,3260,0.0207,0.0053,<0.000811,0.0519,<0.00391,48.6,4.42,0.0193,48,,5,0,0,50,0,,,,,,,,
7/17/16,,,,,,,,,,,,,,,,,,,,,,,7/17/16,1199,,4.27,-19.3,7.3,29.2,0
7/18/16,7/18/16,0.2,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/16,,,,,,,,,,,,,,,,,,,,,,,7/24/16,1200,,4.18,-63.9,7.32,29,0
7/26/16,7/26/16,0.2,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/16,,,,,,,,,,,,,,,,,,,,,,,7/31/16,1203,,4.68,-50.6,7.39,27.4,0
8/1/16,8/1/16,0.2,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/16,,,,,,,,,,,,,,,,,,,,,,,8/7/16,1171,,3.83,-75.5,7.29,28.7,0
8/8/16,8/8/16,0.2,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/16,,,,,,,,,,,,,,,,,,,,,,,8/14/16,1197,,4.99,142.5,7.35,28.1,0
8/15/16,8/15/16,0.2,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/16,,,,8/18/16,6040,2240,2720,0.0205,0.0142,<0.000811,<0.00544,<0.00391,44.3,2.29,0.0107,28,,3,0,0,46.6,0,,,,,,,,
8/21/16,,,,,,,,,,,,,,,,,,,,,,,8/21/16,1090,,4.36,-116.3,7.39,26.9,0
8/24/16,8/24/16,0.2,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/16,,,,,,,,,,,,,,,,,,,,,,,8/28/16,1070,,5.9,-95.1,7.53,25,0
8/29/16,8/29/16,0.2,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/16,,,,,,,,,,,,,,,,,,,,,,,9/4/16,1017,,5.42,-88.4,7.44,26.7,0
9/7/16,9/7/16,0.2,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/16,,,,,,,,,,,,,,,,,,,,,,,9/11/16,1026,,4.19,-97.8,7.34,28.7,0
9/12/16,9/12/16,0.2,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/16,,,,,,,,,,,,,,,,,,,,,,,9/18/16,1054,,5.71,-80,7.49,25.9,0
9/19/16,,,,9/19/16,7620,2060,2690,0.0265,0.00904,0.01,0.0296,0.838,59.5,0.0899,0.0186,42,,8,0,0,59.6,0,,,,,,,,
9/22/16,9/22/16,0.1,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/16,,,,,,,,,,,,,,,,,,,,,,,9/25/16,1109,,6.27,-67.3,7.53,23.2,0
9/26/16,9/26/16,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/16,,,,,,,,,,,,,,,,,,,,,,,10/2/16,1067,,6.42,-20.8,7.54,22.6,0
10/4/16,10/4/16,0.1,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/16,10/4/16,0.1,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/16,,,,,,,,,,,,,,,,,,,,,,,10/9/16,1079,,6.93,-70.5,7.62,21.9,0
10/16/16,,,,,,,,,,,,,,,,,,,,,,,10/16/16,1154,,2.32,-263,7.09,21.9,0
10/18/16,10/18/16,0.1,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/16,,,,10/20/16,6300,1690,2850,0.0216,0.00792,0.0546,0.0191,<0.00391,45.1,0.0933,<0.00311,81,,15,0,0,45.2,0,,,,,,,,
10/23/16,,,,,,,,,,,,,,,,,,,,,,,10/23/16,1080,,6.63,-18.7,7.61,22.1,0
10/24/16,10/24/16,0.1,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/16,,,,,,,,,,,,,,,,,,,,,,,10/30/16,1090,,4.36,-116.3,7.39,26.9,0
10/31/16,10/31/16,0.2,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/16,,,,,,,,,,,,,,,,,,,,,,,11/6/16,0,,0,0,0,0,0
11/13/16,,,,,,,,,,,,,,,,,,,,,,,11/13/16,1073,,5.8,0.3,7.45,18.3,0
11/14/16,11/14/16,0.1,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/16,,,,11/17/16,6660,1820,2690,0.0166,0.011,0.00338,0.0362,<0.00391,48.2,0.0368,0.0091,40,,1,0,0,48.2,0,,,,,,,,
11/20/16,,,,,,,,,,,,,,,,,,,,,,,11/20/16,1189,,6.74,-15.3,7.46,19.4,0
11/22/16,11/22/16,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/16,,,,,,,,,,,,,,,,,,,,,,,11/27/16,0,,0,0,0,0,0
12/1/16,12/1/16,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/16,,,,,,,,,,,,,,,,,,,,,,,12/4/16,1049,,6.94,-9,7.54,16.4,0
12/6/16,12/6/16,0.1,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/16,,,,,,,,,,,,,,,,,,,,,,,12/11/16,1069,,5.7,-18.5,7.43,14.7,0
12/15/16,,,,12/15/16,7540,1710,2460,0.0178,0.0122,0.0267,0.0396,<0.00391,56.3,<0.0100,0.0061,43,,10,0,0,56.3,0,,,,,,,,
12/16/16,12/16/16,0.1,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/16,,,,,,,,,,,,,,,,,,,,,,,12/18/16,10.47,,6.5,-34.2,7.54,15.5,0
12/20/16,12/20/16,0.2,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/16,,,,,,,,,,,,,,,,,,,,,,,12/25/16,10.26,,6.13,-5.4,7.43,14.5,0
12/28/16,12/28/16,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/17,,,,,,,,,,,,,,,,,,,,,,,1/1/17,1092,,7.86,30.8,7.56,13.8,0
1/4/17,1/4/17,0.1,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/17,,,,1/8/17,6380,1650,2270,0.0145,0.0161,0.029,<0.00544,0.0897,74.9,0.0961,<0.00311,29,,<1,<0.000187,2.48,75,1.6,1/8/17,1072,,7.27,9,7.51,16,0
1/10/17,1/10/17,0.1,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/17,,,,,,,,,,,,,,,,,,,,,,,1/15/17,1050,,7.74,15.1,7.54,13.3,0
1/18/17,1/18/17,0.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/17,,,,,,,,,,,,,,,,,,,,,,,1/22/17,1041,,6.25,-14.1,7.45,15.6,0
1/29/17,,,,,,,,,,,,,,,,,,,,,,,1/29/17,1039,,8.63,28,7.63,10.9,0
1/30/17,1/30/17,0.1,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/17,,,,,,,,,,,,,,,,,,,,,,,2/5/17,1018,,7.77,84.8,7.61,15.1,0
2/8/17,2/8/17,0.1,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/17,,,,,,,,,,,,,,,,,,,,,,,2/12/17,1017,,5.68,-1.4,7.37,17.3,0
2/13/17,2/13/17,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/17,,,,,,,,,,,,,,,,,,,,,,,2/19/17,1040,,6.26,36.1,7.46,16.5,0
2/21/17,2/21/17,0.1,0.125,2/21/17,6020,1760,2490,0.0183,0.013,<0.000811,0.0138,<0.00391,61.8,<0.0100,0.0161,41,,50,<0.000187,4.93,61.8,1.6,,,,,,,,
2/26/17,,,,,,,,,,,,,,,,,,,,,,,2/26/17,994,,6.66,-12.1,7.45,16.6,0
2/27/17,2/27/17,0.1,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/17,,,,,,,,,,,,,,,,,,,,,,,3/5/17,1021,,7.96,48.8,7.62,17,0
3/12/17,,,,,,,,,,,,,,,,,,,,,,,3/12/17,1028,,6.93,81.8,7.53,18.8,0
3/13/17,3/13/17,0.1,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/17,3/17/17,0.1,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/17,,,,,,,,,,,,,,,,,,,,,,,3/19/17,1046,,4.77,152.1,7.29,22.4,0
3/21/17,3/21/17,0.1,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/17,,,,,,,,,,,,,,,,,,,,,,,3/26/17,1032,,5.72,127.7,7.31,20.3,0
3/29/17,3/29/17,0.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/17,,,,3/30/17,7240,1830,2520,0.0171,0.0106,0.00419,<0.00544,0.0191,36.1,0.0152,0.06,27,,1,<0.000187,3.3,36.1,<0.0600,,,,,,,,
4/2/17,,,,,,,,,,,,,,,,,,,,,,,4/2/17,1026,,4.84,22.5,7.37,20.5,0
4/3/17,4/3/17,0.1,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/17,,,,,,,,,,,,,,,,,,,,,,,4/9/17,1024,,5.69,54.6,7.46,20.1,0
4/10/17,4/10/17,0.1,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/17,,,,4/13/17,7520,1790,2450,0.0205,0.0137,<0.000811,<0.00544,0.00812,66.4,0.029,0.0107,29,,<1,<0.000187,2.9,66.4,<0.0600,,,,,,,,
4/16/17,,,,,,,,,,,,,,,,,,,,,,,4/16/17,1019,,5.9,8.9,7.48,22.2,0
4/17/17,4/17/17,0.1,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/17,,,,,,,,,,,,,,,,,,,,,,,4/23/17,1062,,5.11,-159.4,7.46,24.9,0
4/24/17,4/24/17,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/17,,,,,,,,,,,,,,,,,,,,,,,4/30/17,1077,,5.91,-13.4,7.45,22.3,0
5/1/17,5/1/17,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/17,,,,,,,,,,,,,,,,,,,,,,,5/7/17,1093,,5.92,-101.4,7.46,21.8,0
5/8/17,5/8/17,0.1,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/17,,,,,,,,,,,,,,,,,,,,,,,5/8/17,1091,,6.03,-86.2,7.47,23.2,0
5/14/17,,,,,,,,,,,,,,,,,,,,,,,5/14/17,1093,,5.92,-101.4,7.46,21.8,0
5/15/17,5/15/17,0.1,0.046,,,,,,,,,,,,,,,,,,,,5/15/17,1091,,6.03,-86.2,7.47,23.2,0
5/18/17,,,,5/18/17,7380,1900,2640,0.016,0.009,0.00866,<0.00544,<0.00391,82.4,0.0915,<0.00311,37,,2,<0.000187,5.02,82.5,<0.0600,,,,,,,,
5/22/17,5/22/17,0.1,0.046,,,,,,,,,,,,,,,,,,,,5/22/17,1071,,6.51,-49.4,7.66,24,0
5/28/17,5/28/17,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/17,,,,,,,,,,,,,,,,,,,,,,,5/31/17,1171,,6.09,-36.8,7.67,27.2,0
6/4/17,6/4/17,0.1,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/17,,,,,,,,,,,,,,,,,,,,,,,6/5/17,1101,,6.04,-64.2,7.58,25.6,0
6/11/17,6/11/17,0.1,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/17,,,,,,,,,,,,,,,,,,,,,,,6/13/17,1181,,5.87,-55.8,7.64,29.1,0
6/18/17,6/18/17,0.25,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/17,,,,,,,,,,,,,,,,,,,,,,,6/19/17,1153,,6.21,-78.7,7.69,24.4,0
6/22/17,,,,6/22/17,8080,2000,2840,0.0199,0.00892,<0.000811,<0.00544,<0.00391,53,0.505,0.0113,<3.36,,1,<0.000187,1.69,53.5,<0.0600,,,,,,,,
6/25/17,6/25/17,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/17,,,,,,,,,,,,,,,,,,,,,,,6/26/17,1160,,3.52,-130,7.18,28.1,0
7/2/17,7/2/17,0.3,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/17,,,,,,,,,,,,,,,,,,,,,,,7/5/17,1119,,3.23,-109.2,7.17,28.5,0
7/9/17,7/9/17,0.3,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/17,,,,,,,,,,,,,,,,,,,,,,,7/11/17,1096,,3.4,-124.1,7.17,30,0
7/16/17,7/16/17,0.15,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/17,,,,,,,,,,,,,,,,,,,,,,,7/18/17,1259,,3.64,-95.5,7.17,27.5,0
7/20/17,,,,7/20/17,8140,2160,3130,0.0212,0.0128,0.00419,<0.00544,<0.00391,50.9,0.889,0.0074,25,,0,<0.000187,2.52,51.8,<0.0600,,,,,,,,
7/26/17,,,,,,,,,,,,,,,,,,,,,,,7/26/17,1176,,4.14,-102.7,7.29,26.8,0
7/23/17,7/23/17,0.15,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/17,7/30/17,0.15,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/17,,,,,,,,,,,,,,,,,,,,,,,7/31/17,1143,,4.38,-68.3,7.31,29.7,0
8/6/17,8/6/17,0.15,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/17,,,,,,,,,,,,,,,,,,,,,,,8/7/17,1126,,5.46,-126.9,7.36,26,0
8/13/17,8/13/17,0.15,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/17,,,,,,,,,,,,,,,,,,,,,,,8/15/17,1119,,4.97,-124.3,7.41,25.8,0
8/20/17,8/20/17,0.15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/17,,,,,,,,,,,,,,,,,,,,,,,8/23/17,1114,,4.32,-139.1,7.36,28.4,0
8/27/17,8/27/17,0.15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/17,,,,,,,,,,,,,,,,,,,,,,,8/28/17,1111,,5.11,-61.6,7.44,23.5,0
9/3/17,9/3/17,0.15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/17,,,,,,,,,,,,,,,,,,,,,,,9/7/17,1108,,4.9,-131.5,7.39,26.6,0
9/10/17,9/10/17,0.15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/17,,,,,,,,,,,,,,,,,,,,,,,9/11/17,1114,,4.8,-94.4,7.43,26.6,0
9/17/17,9/17/17,0.15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/17,,,,,,,,,,,,,,,,,,,,,,,9/19/17,1114,,5.09,-114,7.44,23.9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
