Master Date List,Bin 5 Flow Data (gpm),,,Bin 5,,,,,,,,,,,,,,,,,,,Bin 5 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 5 Inflow (Bin 1),Bin 5 Outflow,Date,Bin 5 TDS,Bin 5 Sulfate,Bin 5 Chloride,Bin 5 Arsenic,Bin 5 Selenium,Bin 5 Chromium,Bin 5 Copper,Bin 5 Zinc,Bin 5 Nitrate,Bin 5 Nitrite,Bin 5 Phosphorus,Bin 5 COD,Bin 5 Boron,Bin 5 Color,Bin 5 Thallium,Bin 5 DOC,Bin 5 Nitrate + Nitrite as N,Bin 5 Sulfide,Date,Bin 5 Conductivity S/m,Bin 5 Conductivity µS/cm,Bin 5 DO mg/L,Bin 5 ORP,Bin 5 pH,Bin 5 Temp. Celsius,Bin 5 H2S mg/L
5/2/11,5/2/11,0.18828125,0.11796875,,,,,,,,,,,,,,,,,,,,5/2/11,,11460,2.53,-258,7.7,21.1,
5/5/11,,,,5/5/11,9410,2470,3160,0.0232,0.0442,0.005,NA,NA,60,0.1,0.034,320,NA,,,,,,,,,,,,,
5/9/11,5/9/11,0.18359375,0.1484375,,,,,,,,,,,,,,,,,,,,5/9/11,,11950,2.03,-178,7.1,23.1,
5/16/11,5/16/11,0.178125,0.1234375,,,,,,,,,,,,,,,,,,,,5/16/11,,11700,1.95,-98,7.14,27.5,
5/20/11,5/20/11,0.1734375,0.090625,,,,,,,,,,,,,,,,,,,,5/20/11,,11870,2.42,-91,7.08,24.4,
5/27/11,5/27/11,0.440625,0.19140625,5/27/11,NA,NA,NA,0.0219,0.0418,NA,NA,NA,58,NA,NA,NA,NA,,,,,,5/27/11,,12350,1.37,-160,6.99,27.1,
6/3/11,6/3/11,0.1734375,0.15625,,,,,,,,,,,,,,,,,,,,6/3/11,,12080,3.55,-125,7.34,28.1,
6/8/11,6/8/11,0.1734375,0.1078125,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/11,,,,,,,,,,,,,,,,,,,,,,,6/10/11,,11004,2.67,-117,7.11,29.3,
6/17/11,6/17/11,0.05,,,,,,,,,,,,,,,,,,,,,6/17/11,,,,,,,
6/24/11,6/24/11,0.2,0.125,6/24/11,9210,NA,NA,0.0227,0.0304,0.005,NA,NA,NA,NA,0.047,NA,NA,,,,,,6/24/11,,10990,3.46,-74,7.37,30.4,
7/1/11,7/1/11,0.1796875,0.1015625,,,,,,,,,,,,,,,,,,,,7/1/11,,11030,1.65,-31,7.69,31.4,
7/8/11,7/8/11,0.18125,0.1078125,,,,,,,,,,,,,,,,,,,,7/8/11,,11240,1.82,-122,7.13,34,
7/15/11,7/15/11,0.20234375,0.1375,,,,,,,,,,,,,,,,,,,,7/15/11,,11270,1.91,-129,7.07,32.3,
7/22/11,7/22/11,0.20234375,0.2328125,7/22/11,9320,2290,3170,0.0237,0.0379,0.005,NA,NA,50,NA,0.02,190,NA,,,,,,7/22/11,,12020,1.35,-182,7.07,32.5,
7/25/11,7/25/11,0.22890625,0.1953125,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/11,7/27/11,0.19140625,0.1171875,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/11,7/29/11,0.2078125,0.134375,,,,,,,,,,,,,,,,,,,,7/29/11,,10850,2.26,-53,7.14,33.4,
8/1/11,8/1/11,0.215625,0.1640625,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/11,8/3/11,0.20625,0.1484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/11,8/5/11,0.20625,0.1484375,,,,,,,,,,,,,,,,,,,,8/5/11,,10770,3.02,-70,7.05,35.5,
8/8/11,8/8/11,0.2109375,0.1390625,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/11,8/10/11,0.2109375,0.18125,,,,,,,,,,,,,,,,,,,,8/10/11,,10550,3.21,-76,7.21,35.3,
8/18/11,8/18/11,0.20078125,0.125,,,,,,,,,,,,,,,,,,,,8/18/11,,10650,2.51,62,7.23,36.3,
8/26/11,8/26/11,0.20546875,0.1,8/26/11,9390,2180,3070,0.0197,0.0162,0.005,NA,NA,49,NA,0.71,180,NA,,,,,,8/26/11,,10600,3.81,120,7.18,35.7,
9/2/11,9/2/11,0.21796875,0.1796875,,,,,,,,,,,,,,,,,,,,9/2/11,,10740,1.73,-170,7.14,34.6,
9/9/11,9/9/11,0.2265625,0.1921875,,NA,NA,NA,0.0206,0.0175,NA,NA,NA,50,NA,NA,NA,NA,,,,,,9/9/11,,10600,2.83,-116,7.38,32.7,
9/9/11,9/9/11,0.203125,0.1421875,9/9/11,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/11,9/16/11,0.2046875,0.16875,,,,,,,,,,,,,,,,,,,,9/16/11,,10290,2.54,-116,7.13,31.1,
9/22/11,9/22/11,0.2015625,0.1640625,,,,,,,,,,,,,,,,,,,,9/22/11,,10160,3.62,-86,7.09,31.1,
9/23/11,,,,9/23/11,8630,2080,2870,0.022,0.0184,0.01,NA,NA,52,NA,0.1,100,NA,,,,,,,,,,,,,
9/29/11,9/29/11,0.19375,0.1390625,,,,,,,,,,,,,,,,,,,,9/29/11,,9845,3.99,145,7.12,30.7,
10/6/11,10/6/11,0.1875,0.103125,,,,,,,,,,,,,,,,,,,,10/6/11,,10650,2.24,-101,7.13,27.1,
10/7/11,10/7/11,0.23046875,0.1921875,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/11,10/13/11,0.209375,0.1765625,,,,,,,,,,,,,,,,,,,,10/13/11,,10240,2.9,-89,7.1,26.7,
10/14/11,,,,10/14/11,NA,NA,NA,0.0218,0.0189,NA,NA,NA,54,NA,NA,NA,NA,,,,,,,,,,,,,
10/20/11,10/20/11,0.21171875,0.1828125,,,,,,,,,,,,,,,,,,,,10/20/11,,10190,2.91,-92,7.04,27.1,
10/25/11,10/25/11,0.21875,0.1765625,,,,,,,,,,,,,,,,,,,,10/25/11,,10160,3.05,-132,7.1,26.6,
10/28/11,,,,10/28/11,8350,2080,2770,0.022,0.0178,0.01,NA,NA,55,NA,NA,120,NA,,,,,,,,,,,,,
11/1/11,11/1/11,0.225,0.19921875,,,,,,,,,,,,,,,,,,,,11/1/11,,9942,4.24,-69,7.14,23.9,
11/8/11,11/8/11,0.24375,0.225,,,,,,,,,,,,,,,,,,,,11/8/11,,10270,4.25,-21,7.15,18.7,
11/17/11,11/17/11,0.2390625,0.1953125,,,,,,,,,,,,,,,,,,,,11/17/11,,9798,2.44,-16,7.2,20.8,
11/18/11,,,,11/18/11,8330,2020,2650,0.0257,0.02,NA,NA,NA,55,NA,0.1,250,NA,,,,,,,,,,,,,
11/22/11,11/22/11,0.2375,0.2046875,,,,,,,,,,,,,,,,,,,,11/22/11,,9901,3.4,25,7.2,19.9,
11/29/11,11/29/11,0.23671875,0.1921875,,,,,,,,,,,,,,,,,,,,11/29/11,,10410,3.75,127,7.21,18.7,
12/6/11,12/6/11,0.2421875,0.23515625,,,,,,,,,,,,,,,,,,,,12/6/11,,10280,,132,7.28,13.8,
12/15/11,12/15/11,0.234375,0.23515625,,,,,,,,,,,,,,,,,,,,12/15/11,,10330,4.71,152,7.3,14.3,
12/16/11,,,,12/16/11,8920,2250,2840,0.0218,0.0207,0.005,NA,NA,58,NA,0.1,230,NA,,,,,,,,,,,,,
12/22/11,12/22/11,0.234375,0.2046875,,,,,,,,,,,,,,,,,,,,12/22/11,,10410,,168,7.22,14.1,
1/6/12,1/6/12,0.24453125,0.21640625,,,,,,,,,,,,,,,,,,,,1/6/12,,9814,,140,7.56,17.9,
1/11/12,1/11/12,0.2296875,0.2046875,,,,,,,,,,,,,,,,,,,,1/11/12,,10030,4.1,181,7.01,15.6,
1/19/12,1/19/12,0.2359375,0.21796875,,,,,,,,,,,,,,,,,,,,1/19/12,,10110,,167,7.27,15.9,
1/20/12,,,,1/20/12,NA,NA,NA,0.0222,0.0208,NA,NA,NA,56,NA,NA,NA,NA,,,,,,,,,,,,,
1/25/12,1/25/12,0.2296875,0.1953125,,,,,,,,,,,,,,,,,,,,1/25/12,,10130,,146,7.39,15.9,
1/31/12,1/31/12,0.23203125,0.20546875,,,,,,,,,,,,,,,,,,,,1/31/12,,9942,3.54,148,7.28,17.9,
2/6/12,2/6/12,0.2265625,0.2015625,,,,,,,,,,,,,,,,,,,,2/6/12,,9943,3.32,162,7.12,17.2,
2/10/12,,,,2/10/12,NA,NA,NA,0.0214,0.0197,NA,NA,NA,56,NA,NA,NA,NA,,,,,,,,,,,,,
2/16/12,2/16/12,0.171875,0.1328125,,,,,,,,,,,,,,,,,,,,2/16/12,,10240,,168,7.12,17.1,
2/22/12,2/22/12,0.2265625,0.2046875,,,,,,,,,,,,,,,,,,,,2/22/12,,10120,2.16,147,7.33,18.3,
