Master Date List,Bin 4 Flow Data (gpm),,,Bin 4,,,,,,,,,,,,,,,,,,,Bin 4 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 4 Inflow,Bin 4 Outflow,Date,Bin 4 TDS,Bin 4 Sulfate,Bin 4 Chloride,Bin 4 Arsenic,Bin 4 Selenium,Bin 4 Chromium,Bin 4 Copper,Bin 4 Zinc,Bin 4 Nitrate,Bin 4 Nitrite,Bin 4 Phosphorus,Bin 4 COD,Bin 4 Boron,Bin 4 Color,Bin 4 Thallium,Bin 4 DOC,Bin 4 Nitrate + Nitrite as N,Bin 4 Sulfide,Date,Bin 4 Conductivity  S/m,Bin 4 Conductivity µS/cm,Bin 4 DO mg/L,Bin 4 ORP,Bin 5 pH,Bin 4 Temp. Celsius,Bin 4 H2S mg/L
11/18/15,,,,11/18/15,7600,2400,2770,0.0067,0.00803,<0.0100,<0.0200,<0.0300,10.6,0.0264,0.0919,39,,5,0,0,10.6,0,,,,,,,,
11/22/15,11/22/15,0.1,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/15,,,,,,,,,,,,,,,,,,,,,,,11/24/15,1102,,4.47,-108.4,7.57,18.9,0
11/29/15,,,,,,,,,,,,,,,,,,,,,,,11/29/15,0,,0,0,0,0,0
12/6/15,12/6/15,0.1,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/15,,,,,,,,,,,,,,,,,,,,,,,12/7/15,1154,,4.58,-174,7.39,17.4,0
12/16/15,,,,12/16/15,9080,2420,2990,0.0257,0.0245,0.0348,<0.00544,0.021,33.8,0.0691,0.224,38,,5,0,0,33.9,0,,,,,,,,
12/17/15,12/17/15,0.1,0.062,,,,,,,,,,,,,,,,,,,,12/17/15,1185,,5.55,-111.5,7.23,15,0
12/20/15,12/20/15,0.1,0.078,,,,,,,,,,,,,,,,,,,,12/23/15,1169,,4.88,-91,7.12,15.2,0
12/27/15,12/27/15,0.1,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/15,,,,,,,,,,,,,,,,,,,,,,,12/30/15,1143,,5.87,-82.3,7.32,13.2,0
1/3/16,1/3/16,0.1,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/16,,,,,,,,,,,,,,,,,,,,,,,1/4/16,1109,,4.87,34.4,7.33,15.3,0
1/11/16,1/11/16,0.45,0.5,,,,,,,,,,,,,,,,,,,,1/11/216,1005,,3.79,-181.5,7.25,16.6,0
1/17/16,1/17/16,0.42,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/16,,,,,,,,,,,,,,,,,,,,,,,1/22/16,956,,4.31,34.1,7.24,19.7,0
1/24/16,1/24/16,0.4,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/16,,,,1/27/16,6320,1790,2100,0.0189,0.0145,0.0174,<0.00544,0.00481,47.7,0.137,0.0444,31,,2,0,0,47.8,0,1/27/16,919,,4.11,-75.3,7.24,18.8,0
1/31/16,1/31/16,0.4,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/16,2/7/16,0.2,0.25,,,,,,,,,,,,,,,,,,,,2/7/16,1063,,6.22,-132.2,7.25,17.3,0
2/8/16,,,,,,,,,,,,,,,,,,,,,,,2/8/16,1050,,4.32,-134.3,7.28,20.2,0
2/17/16,2/17/16,0.2,0.25,,,,,,,,,,,,,,,,,,,,2/17/16,1050,,4.32,-134.3,7.28,20.2,0
2/18/16,,,,2/18/16,7540,2070,2400,0.0199,0.0167,<0.000811,0.0211,<0.00391,53.5,0.41,<0.00311,29,,<1,0,0,53.9,0,,,,,,,,
2/26/16,2/26/16,0.2,,,,,,,,,,,,,,,,,,,,,2/26/16,984,,3.78,-130.7,7.13,22.5,0
2/29/16,2/29/16,0.2,0.234,,,,,,,,,,,,,,,,,,,,2/29/16,1037,,4.64,-145.2,7.29,21.5,0
3/6/16,,,,,,,,,,,,,,,,,,,,,,,3/6/16,1052,,3.21,-189.9,7.18,21.3,0
3/9/16,3/9/16,0.25,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/16,3/13/16,0.275,0.343,,,,,,,,,,,,,,,,,,,,3/13/16,1011,,3.78,-153,7.24,22.2,0
3/17/16,,,,3/17/16,7360,2160,2490,0.02,0.0162,0.018,<0.00544,0.0104,55.5,2.19,0.0247,16,,<1,0,0,57.7,0,,,,,,,,
3/20/16,,,,,,,,,,,,,,,,,,,,,,,3/20/16,986,,4.06,-198,7.22,22.1,0
3/23/16,3/23/16,0.35,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/16,,,,,,,,,,,,,,,,,,,,,,,3/27/16,0,,0,0,0,0,0
4/3/16,,,,,,,,,,,,,,,,,,,,,,,4/3/16,1053,,4.67,-54.7,7.28,23.1,0
4/5/16,4/5/16,0.35,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/16,4/10/16,0.35,0.39,,,,,,,,,,,,,,,,,,,,4/10/16,1056,,3.08,-109.7,7.36,23.6,0
4/13/16,,,,4/13/16,8320,1970,2560,0.0191,0.0146,0.0398,<0.00544,<0.00391,46.6,1.8,0.0523,40,,2,0,0,48.4,0,,,,,,,,
4/17/16,,,,,,,,,,,,,,,,,,,,,,,4/17/16,0,,0,0,0,0,0
4/24/16,,,,,,,,,,,,,,,,,,,,,,,4/24/16,1087,,2.65,-232,7.3,25.1,0
4/27/16,4/27/16,0.4,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/16,,,,,,,,,,,,,,,,,,,,,,,5/1/16,1134,,0.96,-308,7.24,23.2,0
5/3/16,5/3/16,0.4,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/16,,,,,,,,,,,,,,,,,,,,,,,5/8/16,1099,,3.72,-177.8,7.41,26.2,0
5/11/16,5/11/16,0.4,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/16,,,,,,,,,,,,,,,,,,,,,,,5/15/16,1103,,3.33,-201,7.4,26.5,0
5/17/16,5/17/16,0.4,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/16,,,,5/18/16,8100,2110,2770,0.0175,0.00927,0.00797,0.024,0.0424,35.3,0.0465,0.255,66,,5,0,0,35.3,0,,,,,,,,
5/22/16,,,,,,,,,,,,,,,,,,,,,,,5/22/16,1263,,5.26,-12.6,7.43,25,0
5/25/16,5/25/16,0.55,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/16,,,,,,,,,,,,,,,,,,,,,,,5/29/16,1074,,5.84,188.1,7.44,28.3,0
6/3/16,6/3/16,0.55,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/16,,,,,,,,,,,,,,,,,,,,,,,6/5/16,1077,,4.21,-159.6,7.51,29.1,0
6/8/16,6/8/16,0.4,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/16,,,,,,,,,,,,,,,,,,,,,,,6/12/16,1129,,2.81,-318,7.17,31.7,0
6/15/16,,,,6/15/16,7660,2050,2810,0.0287,0.0162,<0.000811,0.0788,<0.00391,21.2,0.0128,0.258,86,,8,0,0,21.2,0,,,,,,,,
6/17/16,6/17/16,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/16,,,,,,,,,,,,,,,,,,,,,,,6/19/16,1145,,0.37,-338,7.25,27.8,0
6/22/16,6/22/16,0.4,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/16,,,,,,,,,,,,,,,,,,,,,,,6/26/16,1103,,1.52,-284,7.26,30.6,0
6/30/16,6/30/16,0.4,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/16,,,,,,,,,,,,,,,,,,,,,,,7/3/16,1191,,1.86,-334,7.31,28.7,0
7/5/16,7/5/16,0.4,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/16,,,,,,,,,,,,,,,,,,,,,,,7/10/16,1123,,1.47,-304,7.32,27.9,0
7/11/16,7/11/16,0.4,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/16,,,,7/14/16,8020,2180,2930,0.0205,0.011,<0.000811,0.0528,<0.00391,14.4,8.01,0.18,82,,8,0,0,22.4,0,,,,,,,,
7/17/16,,,,,,,,,,,,,,,,,,,,,,,7/17/16,1085,,1.65,-301,7.32,28.7,0
7/18/16,7/18/16,0.4,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/16,,,,,,,,,,,,,,,,,,,,,,,7/24/16,1139,,2.42,-286,7.31,28.8,0
7/26/16,7/26/16,0.4,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/16,,,,,,,,,,,,,,,,,,,,,,,7/31/16,1134,,2.98,-316,7.39,27.3,0
8/1/16,8/1/16,0.4,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/16,,,,,,,,,,,,,,,,,,,,,,,8/7/16,1155,,1.48,-216,7.35,28,0
8/8/16,8/8/16,0.4,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/16,,,,,,,,,,,,,,,,,,,,,,,8/14/16,1196,,0.84,-159.9,7.33,28.3,0
8/15/16,8/15/16,0.4,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/16,,,,8/18/16,8020,2370,3040,0.0153,0.00808,<0.000811,<0.00544,<0.00391,<6.97,15.7,0.21,88,,10,0,0,6.97,0,,,,,,,,
8/21/16,,,,,,,,,,,,,,,,,,,,,,,8/21/16,1129,,0.76,-314,7.18,26.8,0
8/24/16,8/24/16,0.3,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/16,,,,,,,,,,,,,,,,,,,,,,,8/28/16,1044,,1.46,-301,7.27,27.2,0
8/29/16,8/29/16,0.35,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/16,,,,,,,,,,,,,,,,,,,,,,,9/4/16,1005,,1.48,-294,7.25,27.8,0
9/7/16,9/7/16,0.35,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/16,,,,,,,,,,,,,,,,,,,,,,,9/11/16,1020,,0.85,-286,7.23,29.4,0
9/12/16,9/12/16,0.35,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/16,,,,,,,,,,,,,,,,,,,,,,,9/18/16,1021,,2.04,-261,7.38,27,0
9/19/16,,,,9/19/16,6720,1870,2460,0.0162,0.0115,<0.000811,0.0358,<0.00391,33.3,1.27,0.0904,40,,5,0,0,34.6,0,,,,,,,,
9/22/16,9/22/16,0.35,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/16,,,,,,,,,,,,,,,,,,,,,,,9/25/16,1048,,1.14,-269,7.25,24.9,0
9/26/16,9/26/16,0.3,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/16,,,,,,,,,,,,,,,,,,,,,,,10/2/16,1037,,2.11,48.1,7.11,24.5,0
10/4/16,10/4/16,0.3,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/16,10/4/16,0.3,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/16,,,,,,,,,,,,,,,,,,,,,,,10/9/16,1070,,1.76,-250,7.16,23.5,0
10/16/16,,,,,,,,,,,,,,,,,,,,,,,10/16/16,1382,,2.63,-157.6,7.02,22.6,0
10/18/16,10/18/16,0.3,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/16,,,,10/20/16,6840,1850,2730,0.0165,0.0132,0.0481,0.0179,<0.00391,34.2,0.621,0.0503,62,,5,0,0,34.8,0,,,,,,,,
10/23/16,,,,,,,,,,,,,,,,,,,,,,,10/23/16,1096,,2.46,-237,7.33,24.2,0
10/24/16,10/24/16,0.3,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/16,,,,,,,,,,,,,,,,,,,,,,,10/30/16,1129,,0.76,-314,7.18,26.8,0
10/31/16,10/31/16,0.3,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/16,,,,,,,,,,,,,,,,,,,,,,,11/6/16,0,,0,0,0,0,0
11/13/16,,,,,,,,,,,,,,,,,,,,,,,11/13/16,1085,,2.77,-255,7.33,20.8,0
11/14/16,11/14/16,0.4,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/16,,,,11/17/16,6860,1850,2650,0.0138,0.0147,0.00224,0.0307,<0.00391,37.1,0.428,0.0332,42,,1,0,0,37.5,0,,,,,,,,
11/20/16,,,,,,,,,,,,,,,,,,,,,,,11/20/16,1053,,3.38,-9.5,7.37,20,0
11/22/16,11/22/16,0.35,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/16,,,,,,,,,,,,,,,,,,,,,,,11/27/16,0,,0,0,0,0,0
12/1/16,12/1/16,0.3,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/16,,,,,,,,,,,,,,,,,,,,,,,12/4/16,1002,,4.23,23.7,7.55,18.2,0
12/6/16,12/6/16,0.35,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/16,,,,,,,,,,,,,,,,,,,,,,,12/11/16,1015,,3.47,-46.2,7.44,17.8,0
12/15/16,,,,12/15/16,7340,2380,2380,0.0176,0.0146,0.0264,0.0371,<0.00391,48.9,0.276,0.0065,25,,5,0,0,49.2,0,,,,,,,,
12/16/16,12/16/16,0.4,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/16,,,,,,,,,,,,,,,,,,,,,,,12/18/16,10.5,,3.23,-175,7.38,19.1,0
12/20/16,12/20/16,0.3,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/16,,,,,,,,,,,,,,,,,,,,,,,12/25/16,10.56,,2.98,-127.6,7.32,17.6,0
12/28/16,12/28/16,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/17,,,,,,,,,,,,,,,,,,,,,,,1/1/17,1022,,4.64,-173.9,7.42,15.8,0
1/4/17,1/4/17,0.2,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/17,,,,1/8/17,6640,1680,2300,0.0139,0.0147,0.0133,<0.00544,<0.00391,69.7,0.103,<0.00311,34,,<1,<0.000187,2.86,69.8,0.8,1/8/17,1037,,3.98,-170.6,7.38,16.7,0
1/10/17,1/10/17,0.2,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/17,,,,,,,,,,,,,,,,,,,,,,,1/15/17,1004,,4.59,-93.6,7.4,16.1,0
1/18/17,1/18/17,0.2,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/17,,,,,,,,,,,,,,,,,,,,,,,1/22/17,998,,4.42,-86.5,7.37,16.9,0
1/29/17,,,,,,,,,,,,,,,,,,,,,,,1/29/17,1010,,4.89,-126.7,7.38,13.6,0
1/30/17,1/30/17,0.2,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/17,,,,,,,,,,,,,,,,,,,,,,,2/5/17,1045,,4.49,91.9,7.42,16.8,0
2/8/17,2/8/17,0.2,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/17,,,,,,,,,,,,,,,,,,,,,,,2/12/17,1052,,3.53,-203,7.32,18.4,0
2/13/17,2/13/17,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/17,,,,,,,,,,,,,,,,,,,,,,,2/19/17,1039,,4.24,-111.7,7.37,18,0
2/21/17,2/21/17,0.2,0.219,2/21/17,6160,1850,2480,0.0186,0.0141,<0.000811,0.015,<0.00391,67.2,0.125,0.025,40,,10,<0.000187,2.57,67.3,1.2,,,,,,,,
2/26/17,,,,,,,,,,,,,,,,,,,,,,,2/26/17,1012,,5.19,-157.1,7.42,18.2,0
2/27/17,2/27/17,0.2,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/17,,,,,,,,,,,,,,,,,,,,,,,3/5/17,996,,6.25,-176.3,7.44,18.6,0
3/12/17,,,,,,,,,,,,,,,,,,,,,,,3/12/17,1044,,3.9,-99.8,7.01,20.6,0
3/13/17,3/13/17,0.2,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/17,3/17/17,0.2,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/17,,,,,,,,,,,,,,,,,,,,,,,3/19/17,1064,,3.84,-190.6,7.14,22.9,0
3/21/17,3/21/17,0.2,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/17,,,,,,,,,,,,,,,,,,,,,,,3/26/17,1058,,2.94,-204,7.26,21.3,0
3/29/17,3/29/17,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/17,,,,3/30/17,6720,1920,2570,0.0179,0.0135,0.00457,<0.00544,0.0258,34.8,0.445,0.0127,30,,1,<0.000187,3.2,35.2,<0.0600,,,,,,,,
4/2/17,,,,,,,,,,,,,,,,,,,,,,,4/2/17,1025,,4.01,-19.1,7.36,21.5,0
4/3/17,4/3/17,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/17,,,,,,,,,,,,,,,,,,,,,,,4/9/17,1037,,4.04,-155,7.42,20.9,0
4/10/17,4/10/17,0.2,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/17,,,,4/13/17,7540,1930,2570,0.0203,0.0147,<0.000811,<0.00544,0.00979,46.6,0.55,0.0517,12,,1,<0.000187,3.97,47.1,<0.0600,,,,,,,,
4/16/17,,,,,,,,,,,,,,,,,,,,,,,4/16/17,1073,,1.87,-206,7.36,23.1,1.6
4/17/17,4/17/17,0.2,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/17,,,,,,,,,,,,,,,,,,,,,,,4/23/17,1145,,3.41,-202,7.26,24.8,1.4
4/24/17,4/24/17,0.2,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/17,,,,,,,,,,,,,,,,,,,,,,,4/30/17,1093,,1.9,-237,7.27,23,2
5/1/17,5/1/17,0.2,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/17,,,,,,,,,,,,,,,,,,,,,,,5/7/17,1075,,2.56,-228,7.33,23.3,1.2
5/8/17,5/8/17,0.2,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/17,,,,,,,,,,,,,,,,,,,,,,,5/8/17,1103,,1.65,-259,7.21,24.2,1.8
5/14/17,,,,,,,,,,,,,,,,,,,,,,,5/14/17,1075,,2.56,-228,7.33,23.3,1.2
5/15/17,5/15/17,0.2,0.203,,,,,,,,,,,,,,,,,,,,5/15/17,1103,,1.65,-259,7.21,24.2,1.8
5/18/17,,,,5/18/17,7400,1960,2720,0.0133,0.0119,0.00735,<0.00544,<0.00391,54.4,1.06,<0.00311,49,,2,<0.000187,5.5,55.5,<0.0600,,,,,,,,
5/22/17,5/22/17,0.2,0.203,,,,,,,,,,,,,,,,,,,,5/22/17,1107,,2.52,-240,7.36,24.2,1
5/28/17,5/28/17,0.2,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/17,,,,,,,,,,,,,,,,,,,,,,,5/31/17,1176,,1.83,-249,7.09,27.4,1
6/4/17,6/4/17,0.2,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/17,,,,,,,,,,,,,,,,,,,,,,,6/5/17,1174,,1.05,-269,7.25,26.5,2
6/11/17,6/11/17,0.2,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/17,,,,,,,,,,,,,,,,,,,,,,,6/13/17,1206,,1.34,-263,7.29,28.3,2
6/18/17,6/18/17,0.25,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/17,,,,,,,,,,,,,,,,,,,,,,,6/19/17,1245,,1.37,-301,7.38,23.8,0
6/22/17,,,,6/22/17,8300,2080,2990,0.0179,0.0116,<0.000811,<0.00544,<0.00391,25.3,1.93,0.073,24,,1,<0.000187,1.98,27.2,<0.0600,,,,,,,,
6/25/17,6/25/17,0.2,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/17,,,,,,,,,,,,,,,,,,,,,,,6/26/17,1276,,0.49,-303,7.17,27.3,2
7/2/17,7/2/17,0.2,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/17,,,,,,,,,,,,,,,,,,,,,,,7/5/17,1240,,0.74,-178.4,7.14,28.9,0.2
7/9/17,7/9/17,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/17,,,,,,,,,,,,,,,,,,,,,,,7/11/17,1250,,0.61,-282,7.09,29.8,0
7/16/17,7/16/17,0.2,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/17,,,,,,,,,,,,,,,,,,,,,,,7/18/17,1296,,0.25,-333,7,28.9,1
7/20/17,,,,7/20/17,8160,2270,3180,0.0137,0.00642,0.00622,<0.00544,<0.00391,11.8,1.34,0.0821,66,,0,<0.000187,3.12,13.1,<0.0600,,,,,,,,
7/26/17,,,,,,,,,,,,,,,,,,,,,,,7/26/17,1234,,0.61,-151.3,6.85,27.4,0
7/23/17,7/23/17,0.2,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/17,7/30/17,0.2,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/17,,,,,,,,,,,,,,,,,,,,,,,7/31/17,1184,,0.52,-192.4,7.01,29.4,0
8/6/17,8/6/17,0.2,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/17,,,,,,,,,,,,,,,,,,,,,,,8/7/17,1221,,0.63,-324,7.03,26.1,1.2
8/13/17,8/13/17,0.2,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/17,,,,,,,,,,,,,,,,,,,,,,,8/15/17,1206,,0.73,-311,7.15,25.9,10.5
8/20/17,8/20/17,0.25,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/17,,,,,,,,,,,,,,,,,,,,,,,8/23/17,1112,,0.97,-273,7.2,28.7,0
8/27/17,8/27/17,0.25,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/17,,,,,,,,,,,,,,,,,,,,,,,8/28/17,1145,,1.05,-238,7.4,24,0
9/3/17,9/3/17,0.2,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/17,,,,,,,,,,,,,,,,,,,,,,,9/7/17,1180,,0.72,-304,7.14,27.7,1
9/10/17,9/10/17,0.2,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/17,,,,,,,,,,,,,,,,,,,,,,,9/11/17,1153,,0.62,-265,7.22,27.4,0.2
9/17/17,9/17/17,0.2,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/17,,,,,,,,,,,,,,,,,,,,,,,9/19/17,1191,,2.67,-238,7.12,26.6,1.6
