Master Date List,Date,Brine TDS,Brine Sulfate,Brine Chloride,Brine Arsenic,Brine Selenium,Brine Chromium,Brine Copper,Brine Zinc,Brine Nitrate,Brine Nitrite,Brine Phosphorus,Brine COD,Brine Boron,Brine Color,Brine Thallium,Brine DOC,Brine Nitrate + Nitrite as N,Brine Sulfide,Date,Brine Conductivity S/m,Brine Conductivity µS/cm,Brine DO mg/L,Brine ORP,Brine pH,Brine Temp. Celsius,Brine H2S mg/l
3/5/17,,,,,,,,,,,,,,,,,,,,3/5/17,958,,6.5,146.9,7.5,26.2,0
3/12/17,,,,,,,,,,,,,,,,,,,,3/12/17,1055,,6.62,250,7.41,25.9,0
3/13/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/17,,,,,,,,,,,,,,,,,,,,3/19/17,1050,,6.2,250,7.31,28.6,0
3/21/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/17,,,,,,,,,,,,,,,,,,,,3/26/17,993,,6.67,273,7.48,25,0
3/29/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/17,3/30/17,6880,1750,2360,0.0186,0.0135,0.0488,<0.00544,0.0184,39.5,<0.0100,0.0105,28,,<1,<0.000187,2.5,39.5,<0.0600,,,,,,,,
4/2/17,,,,,,,,,,,,,,,,,,,,4/2/17,985,,6.63,262,7.49,26.4,0
4/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/17,,,,,,,,,,,,,,,,,,,,4/9/17,1053,,6.92,271,7.57,22.7,0
4/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/17,4/13/17,7060,1810,2490,0.0201,0.0206,0.025,<0.00544,0.00622,56.2,<0.0100,0.0198,16,,<1,<0.000187,1.87,56.2,<0.0600,,,,,,,,
4/16/17,,,,,,,,,,,,,,,,,,,,4/16/17,981,,6.74,261,7.65,27.4,0
4/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/17,,,,,,,,,,,,,,,,,,,,4/23/17,1018,,6.12,265,7.39,27.1,0
4/24/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/17,,,,,,,,,,,,,,,,,,,,4/30/17,1060,,6.56,253,7.4,25.5,0
5/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/17,,,,,,,,,,,,,,,,,,,,5/7/17,1033,,6.51,242,7.5,25.2,0
5/8/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/17,,,,,,,,,,,,,,,,,,,,5/8/17,1041,,6.36,235,7.42,25.4,0
5/14/17,,,,,,,,,,,,,,,,,,,,5/14/17,1033,,6.51,242,7.5,25.2,0
5/15/17,,,,,,,,,,,,,,,,,,,,5/15/17,1041,,6.36,235,7.42,25.4,0
5/18/17,5/18/17,6740,1760,2450,0.0265,0.015,0.0414,<0.00544,0.0138,79.2,<0.0100,<0.00311,33,,<1,<0.000187,1.75,79.2,<0.0600,,,,,,,,
5/22/17,,,,,,,,,,,,,,,,,,,,5/22/17,1035,,6.54,215,7.59,26.3,0
5/28/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/17,,,,,,,,,,,,,,,,,,,,5/31/17,1034,,6.23,210,7.49,29.5,0
6/4/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/17,,,,,,,,,,,,,,,,,,,,6/5/17,1050,,6.19,203,7.45,26.8,0
6/11/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/17,,,,,,,,,,,,,,,,,,,,6/13/17,1035,,6.25,214,7.49,28.6,0
6/18/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/17,,,,,,,,,,,,,,,,,,,,6/19/17,1032,,6.27,201,7.36,26.9,0
6/22/17,6/22/17,6840,1710,2410,0.0195,0.022,0.0325,<0.00544,<0.00391,62.3,<0.0100,0.0184,11,,<1,<0.000187,0.875,62.3,<0.0600,,,,,,,,
6/25/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/17,,,,,,,,,,,,,,,,,,,,6/26/17,1059,,6.28,181.1,7.39,27,0
7/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/17,,,,,,,,,,,,,,,,,,,,7/5/17,1021,,6.03,44.7,7.54,27,0
7/9/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/17,,,,,,,,,,,,,,,,,,,,7/11/17,1031,,6.43,148.9,7.34,27.6,0
7/16/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/17,,,,,,,,,,,,,,,,,,,,7/18/17,1022,,6.51,194.3,7.37,26.9,0
7/20/17,7/20/17,6340,1850,2470,0.0191,0.0178,0.0468,<0.00544,<0.00391,57.9,<0.0100,0.0133,21,,0,<0.000187,1.04,57.9,<0.0600,,,,,,,,
7/26/17,,,,,,,,,,,,,,,,,,,,7/26/17,1026,,6.62,206,7.36,27.1,0
7/23/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/17,,,,,,,,,,,,,,,,,,,,7/31/17,1048,,6.23,128.3,7.51,27.4,0
8/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/17,,,,,,,,,,,,,,,,,,,,8/7/17,1027,,6.49,97.6,7.55,26.7,0
8/13/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/17,,,,,,,,,,,,,,,,,,,,8/15/17,1044,,6.38,111.6,7.54,26.3,0
8/20/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/17,,,,,,,,,,,,,,,,,,,,8/23/17,1047,,5.76,116.2,7.46,27.4,0
8/27/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/17,,,,,,,,,,,,,,,,,,,,8/28/17,1003,,6.47,102.3,7.95,24.2,0
9/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/17,,,,,,,,,,,,,,,,,,,,9/7/17,986,,6.04,151.4,7.53,29.1,0
9/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/17,,,,,,,,,,,,,,,,,,,,9/11/17,1040,,6.1,121.4,7.53,26.6,0
9/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/17,,,,,,,,,,,,,,,,,,,,9/19/17,1052,,6.65,125,7.55,25.5,0
